id,title
1,Actuación Teatral
2,Artes Plásticas
3,Diseño Teatral
4,Ingeniería en Sonido
5,Teoría de la Música
6,Teoría e Historia del Arte
7,Programa Académico Bachillerato
8,Arquitectura
9,Diseño
10,Geografía
11,Biología
12,Física
13,Matemáticas
14,Química
15,Biología mención en Medio Ambiente
16,Ingeniería en Biotecnología Molecular
17,Pedadogía en Ed. Media en Biología y Química
18,Pedadogía en Ed. Media en Matemática y Física
19,Química Ambiental
20,Ingeniería Agronóma
21,Ingeniería en Recursos Naturales Renovables
22,Ingeniería y Ciencias - Plan Común
23,Ingeniería Civil con Mención
24,Ingeniería Civil Mecánica
25,Ingeniería Civil Matemática
26,Ingeniería Civil Biotecnología
27,Ingeniería Civil Eléctrica
28,Ingeniería Civil Química
29,Ingeniería Civil de Minas
30,Ingeniería Civil en Computación
31,Geología
32,Licenciatura en Ciencias Mención Física
33,Licenciatura en Ciencias Mención Geofísica
34,Licenciatura en Ciencias Mención Astronomía
35,Ingeniería Forestal, Lic. en Ciecias Forestakes
36,Bioquímica
37,Ingeniería en Alimentos
38,Quimica, Lic en Química
39,Química y Farmacia
40,Antropología -  Arquelogía, Lic. en Antropología con mención en Antropología
41,Pedagogía en Educación Parvaluria, Lic. en Educación.
42,Psicología, Lic. en Psicología.
43,Sociología, Lic. en Sociología.
44,Trabajo Social, Lic. en Trabajo Social
45,Medicina Veterinaria, Lic. en Ciencias Veterinarias y Pecuarias
46,Derecho, Lic. en Ciencias Jurídicas y Sociales
47,Contador Auditor, Lic. en Contabilidad y Auditoría.
48,Ingenieria Comercial
49,Ingenieria en Información y Control de Gestión
50,Lic. en Filosofía
51,Lic. en Historia
52,Lengua y Literatura Inglesas
53,Lengua y Literatura Hispánicas
54,Pedagogía en Eduacación Básica
55,Enfermería
56,Fonoaudiología
57,Kinesiología
58,Medicina
59,Nutriciíon y Dietética
60,Obstetricia y Puericultura
61,Tecnología Médica
62,Terapia Ocupacional
63,Odontología
64,Administración Pública
65,Cine y Televisión
66,Periodismo
67,Actuación 
68,Agronomía
69,Antropología
70,Arquitectura
71,Arte
72,Astronomía
73,Biología
74,Biología Marina
75,Bioquímica
76,Ciencia Política
77,College Artes y Humanidades
78,College Ciencias Naturales y Matemáticas
79,College Ciencias Sociales
80,Construcción Civil
81,Derecho
82,Dirección Audiovisual
83,Diseño
84,Enfermería
85,Estadística
86,Filosofía
87,Física
