id,title,Carrera UGM,UGM
1,Actuación Teatral,,
2,Artes Plásticas,,
3,Diseño Teatral,,
4,Ingeniería en Sonido,,
5,Teoría de la Música,,
6,Teoría e Historia del Arte,,
7,Programa Académico Bachillerato,,
8,Arquitectura,,
9,Diseño,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
10,Geografía,,
11,Biología,,
12,Física,,
13,Matemáticas,,
14,Química,,
15,Biología mención en Medio Ambiente,,
16,Ingeniería en Biotecnología Molecular,,
17,Pedadogía en Ed. Media en Biología y Química,,
18,Pedadogía en Ed. Media en Matemática y Física,,
19,Química Ambiental,,
20,Ingeniería Agronóma,,
21,Ingeniería en Recursos Naturales Renovables,,
22,Ingeniería y Ciencias - Plan Común,,
23,Ingeniería Civil con Mención,,
24,Ingeniería Civil Mecánica,,
25,Ingeniería Civil Matemática,,
26,Ingeniería Civil Biotecnología,,
27,Ingeniería Civil Eléctrica,,
28,Ingeniería Civil Química,,
29,Ingeniería Civil de Minas,,
30,Ingeniería Civil en Computación,,
31,Geología,,
32,Licenciatura en Ciencias Mención Física,,
33,Licenciatura en Ciencias Mención Geofísica,,
34,Licenciatura en Ciencias Mención Astronomía,,
35,Ingeniería Forestal,,
36,Bioquímica,,
37,Ingeniería en Alimentos,,
38,Quimica,,
39,Química y Farmacia,,
40,Antropología -  Arquelogía,,
41,Pedagogía en Educación Parvaluria,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
42,Psicología,PSICOLOGÍA DIURNO,PSICSG1
43,Sociología,,
44,Trabajo Social,,
45,Medicina Veterinaria,,
46,Derecho,DERECHO DIURNO,DERESG1
47,Contador Auditor,,
48,Ingenieria Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
49,Ingenieria en Información y Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
50,Lic. en Filosofía,,
51,Lic. en Historia,,
52,Lengua y Literatura Inglesas,,
53,Lengua y Literatura Hispánicas,,
54,Pedagogía en Eduacación Básica,,
55,Enfermería,ENFERMERIA DIURNO,ENFESG1
56,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
57,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
58,Medicina,,
59,Nutriciíon y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
60,Obstetricia y Puericultura,,
61,Tecnología Médica,,
